Date,NVDA_Price,AVGO_Price,MU_Price,AMD_Price,MRVL_Price,MSFT_Price,CRWD_Price,TEL_Price,CDNS_Price,CRM_Price,NET_Price,ADBE_Price,NOW_Price,EQIX_Price,DLR_Price,VRT_Price,ETN_Price,IRM_Price,NEE_Price,SO_Price,SRE_Price,LMT_Price,RTX_Price,GD_Price,NVDA_Return,AVGO_Return,MU_Return,AMD_Return,MRVL_Return,MSFT_Return,CRWD_Return,TEL_Return,CDNS_Return,CRM_Return,NET_Return,ADBE_Return,NOW_Return,EQIX_Return,DLR_Return,VRT_Return,ETN_Return,IRM_Return,NEE_Return,SO_Return,SRE_Return,LMT_Return,RTX_Return,GD_Return
2020-01-16,6.188026428,26.36054039,56.25456619,49.77000046,27.48081779,157.0757751,62.24000168,89.56858826,73.05999756,180.0466309,18.95999908,345.3800049,62.00400162,526.8832397,99.99867249,11.61067867,84.59780884,22.91331863,53.61557007,51.63358688,63.36134338,357.526886,83.13846588,157.9680786,0.013682556,0.012898436,0.026882807,0.025128759,0.057260428,0.018322976,0.033029074,0.006677637,0.015568461,0.00900271,0.005835475,0.007114954,0.016892489,0.015147383,0.022150767,-0.003415734,0.009797539,0.010717927,0.002742613,0.008691609,0.006746924,0.011284265,0.010463092,0.01002257
2020-01-17,6.196726799,26.50992584,56.23506165,50.93000031,27.7142868,157.9549103,63.45000076,90.18070984,73.73000336,179.593277,18.60000038,349.7399902,62.50400162,520.5795898,100.6212997,11.34205055,85.36508942,23.10474968,53.85573578,52.49999237,64.18613434,357.4932861,83.59868622,157.5263672,0.001406001,0.00566701,-0.000346719,0.02330721,0.008495708,0.005596886,0.019440859,0.00683411,0.009170624,-0.00251798,-0.018987274,0.012623734,0.008063996,-0.011964036,0.006226355,-0.023136298,0.009069745,0.008354575,0.004479402,0.016779882,0.013017258,-9.40E-05,0.005535589,-0.002796207
2020-01-21,6.163415909,26.44810867,57.51268768,51.04999924,26.76096916,157.3877716,62.24000168,89.56858826,74.59999847,182.5892944,18,350,62.59600067,522.3502197,101.6643448,11.44154263,84.33015442,23.31090927,54.59748459,53.17128754,64.49645996,357.9047546,83.63661957,158.7388763,-0.005375562,-0.00233185,0.022719385,0.002356154,-0.034398058,-0.00359051,-0.019070119,-0.006787722,0.011799743,0.016682236,-0.032258084,0.000743437,0.001471891,0.003401266,0.010366046,0.008771965,-0.012123633,0.008922823,0.013772884,0.012786576,0.004834777,0.001150982,0.000453755,0.007697182
2020-01-22,6.21736002,26.86877823,57.70773697,51.43000031,27.02361679,156.6315613,62.56999969,89.07347107,74.80000305,180.1057739,18.04999924,350.0599976,62.56999969,523.704895,102.109108,11.53108597,86.68556213,23.38454056,55.23720169,53.31178665,64.32904816,356.4519043,83.26842499,158.5743256,0.008752307,0.015905468,0.003391413,0.007443704,0.009814578,-0.004804759,0.005302025,-0.005527799,0.002681027,-0.013601676,0.002777735,0.000171422,-0.000415378,0.002593423,0.00437482,0.00782616,0.027930789,0.003158662,0.01171697,0.002642387,-0.002595674,-0.004059321,-0.004402313,-0.001036613
2020-01-23,6.285721302,27.44225883,57.73699951,51.70999908,27.25707817,157.5957031,61.54999924,90.35175323,75.41999817,181.3179321,18.17000008,351.7600098,62.29199982,527.6712036,102.7802277,11.64052486,87.34577179,23.4949894,55.27545547,53.82694626,65.35388184,360.1136475,83.2738266,159.8907166,0.010995227,0.021343754,0.000507082,0.005444269,0.008639161,0.006155476,-0.016301749,0.014350874,0.008288704,0.006730257,0.006648246,0.004856345,-0.004443022,0.007573556,0.006572574,0.009490771,0.007616143,0.004723156,0.000692537,0.009663147,0.015931118,0.010272755,6.49E-05,0.008301413
2020-01-24,6.226558685,27.81571388,56.33258057,50.34999847,26.56641579,156.0077057,59.25,88.57837677,74.58000183,179.4750061,17.77000046,351.3699951,61.87799835,524.0856323,103.7101059,11.84945679,86.4000473,23.22991562,56.04906082,54.20162964,65.23140717,363.237854,82.943573,160.2804718,-0.009412224,0.013608758,-0.024324419,-0.026300534,-0.025338827,-0.010076401,-0.037367982,-0.019627472,-0.011137581,-0.010164058,-0.022014288,-0.001108752,-0.006646142,-0.006795086,0.009047248,0.017948669,-0.010827364,-0.011282141,0.013995459,0.006960889,-0.001874023,0.008675613,-0.003965875,0.002437635
2020-01-27,5.971013069,26.5305233,54.04066086,49.25999832,25.16561699,153.3987274,58.06000137,87.1740799,72.62000275,178.0952606,17.81999969,346.8999939,61.52600098,525.8474731,104.324646,12.09818745,84.43722534,23.28882408,56.69091797,54.43577194,64.73326874,363.1370239,81.77403259,158.1152802,-0.041041228,-0.04620376,-0.040685509,-0.021648464,-0.052728182,-0.016723394,-0.020084365,-0.015853721,-0.026280491,-0.007687675,0.002813688,-0.012721636,-0.005688571,0.003361742,0.005925557,0.020990891,-0.022717834,0.002535888,0.011451702,0.004319839,-0.007636481,-0.000277587,-0.014100434,-0.013508768
2020-01-28,6.164162636,27.32722092,55.07447433,50.52999878,25.61309814,156.4046936,59.06999969,88.30830383,74.18000031,180.2043457,18.07999992,354.6300049,62.81000137,533.479126,104.9715042,12.44640923,85.89147949,23.53179741,56.49325943,54.67775726,65.25591278,367.1600342,82.76487732,159.0333557,0.032347872,0.030029472,0.019130289,0.025781577,0.01778145,0.01959577,0.017395768,0.013011023,0.021481651,0.011842455,0.014590361,0.022283111,0.020869232,0.014513054,0.006200435,0.028782971,0.017222903,0.010433044,-0.0034866,0.004445336,0.008073809,0.011078491,0.012116863,0.005806368
2020-01-29,6.103756428,27.2585392,53.93337631,47.50999832,24.40685654,158.8434753,60.25999832,88.28131104,73.13999939,179.1399384,17.59000015,351.6600037,62.58599854,533.576416,103.2006989,12.56579781,86.42682648,23.34036446,56.48264694,54.71677399,64.79042053,364.3632507,82.74320984,158.8947906,-0.009799581,-0.002513308,-0.020719181,-0.059766486,-0.047094717,0.015592766,0.020145567,-0.000305665,-0.014019964,-0.005906669,-0.027101757,-0.008374929,-0.003566356,0.000182369,-0.016869391,0.009592211,0.00623283,-0.008135076,-0.000187854,0.000713576,-0.007133334,-0.007617342,-0.000261796,-0.000871296
2020-01-30,6.110468864,27.06022835,53.67005157,48.77999878,24.12475014,163.3240662,62.45000076,86.25588989,73.16000366,182.9835205,18.31999969,356.7399902,68.3239975,533.8596802,101.6724548,12.42651081,86.74799347,23.48026085,57.3689003,55.30218506,65.79077911,366.0934143,83.38214111,156.9548187,0.001099722,-0.007275183,-0.004882408,0.026731225,-0.01155849,0.028207585,0.036342557,-0.022942808,0.000273507,0.021455752,0.041500826,0.014445733,0.091681831,0.000530878,-0.014808466,-0.011084612,0.003716057,0.005993754,0.015690719,0.010698933,0.015439915,0.004748458,0.007721857,-0.01220916
